days_since_infection,median,lower_95,upper_95
28.9,2.38E-05,1.00E-08,0.0013546473
29,2.27E-05,9.22E-09,0.001319445
29.1,2.17E-05,8.46E-09,0.0012867112
29.2,2.07E-05,7.77E-09,0.0012536354
29.3,1.98E-05,7.13E-09,0.0012198701
29.4,1.89E-05,6.55E-09,0.0011895863
29.5,1.80E-05,6.04E-09,0.0011592772
29.6,1.72E-05,5.57E-09,0.0011294738
29.7,1.64E-05,5.14E-09,0.0011004358
29.8,1.56E-05,4.74E-09,0.0010721436
29.9,1.49E-05,4.37E-09,0.0010445097
30,1.42E-05,4.04E-09,0.0010175195
