days_since_infection,median,lower_95,upper_95
13.7,0.3160197884,0.2228061278,0.4277452239
13.8,0.3111554331,0.2188218883,0.4217934604
13.9,0.3065660834,0.2147042229,0.4169052994
14,0.3019062197,0.2108280778,0.4114099206
14.1,0.2970941126,0.2064924686,0.4055071511
14.2,0.292643989,0.2026079287,0.4000293314
14.3,0.2880933371,0.1983013391,0.3950384146
14.4,0.2835304359,0.1940985236,0.3884056473
14.5,0.2786841256,0.1902248055,0.3824240123
14.6,0.2741003854,0.1863586829,0.3771699236
14.7,0.2696285762,0.1825815214,0.3719624189
14.8,0.2651939021,0.1782589844,0.3668397136
14.9,0.2609716453,0.1740986758,0.3620902138
15,0.2569613611,0.1701672269,0.3573908912
15.1,0.2527659332,0.1664943764,0.3527252787
15.2,0.2486727123,0.1633391231,0.3483116731
15.3,0.2446120362,0.1596909185,0.343587045
15.4,0.2404633715,0.1563175051,0.3392141611
15.5,0.2365212434,0.1533513003,0.3348737533
15.6,0.2323892667,0.1501987078,0.3298419076
15.7,0.2284041278,0.1465443195,0.3251411314
15.8,0.2243933437,0.1435722742,0.3206787002
15.9,0.2205125419,0.140156008,0.3162178954
16,0.2166160414,0.1372826847,0.3112768708
16.1,0.2129251119,0.1339314983,0.3065541927
16.2,0.2089386263,0.1306989977,0.3027285612
16.3,0.2052348886,0.1275071509,0.2983244805
16.4,0.2014457256,0.1249190273,0.2941547903
16.5,0.1978344379,0.1220835906,0.2896750775
16.6,0.1942503051,0.1193517078,0.2852124582
16.7,0.19065834,0.1162415966,0.280504522
16.8,0.1870052995,0.1135805344,0.2768379859
16.9,0.1836027185,0.1108979788,0.2719155865
17,0.1802421764,0.1078202635,0.2680629159
17.1,0.1769318205,0.105259026,0.2641672069
17.2,0.1736911453,0.1028950654,0.2597557802
17.3,0.1704839898,0.1001516585,0.2557839929
17.4,0.1672529552,0.0974660486,0.2518105591
17.5,0.1640641706,0.0948557752,0.2478954406
17.6,0.160761369,0.0924744465,0.2440904443
17.7,0.1578657328,0.0902321666,0.2410309669
17.8,0.1548019257,0.0880579164,0.2371630073
17.9,0.151787569,0.0857707887,0.2333395236
18,0.149005803,0.0834775026,0.2294843086
